unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,public1,public2,public3,public4,public5,public6,public7,public8,public9,private,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,multype,fopna,fopna1,fopna2,insttoyr,licensed,accrd1,accrd2,accrd3,accrd4,regaccrd,saccr,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq4a,admreq4b,admreq4c,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,yrscoll,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3,finaid1,finaid2,finaid3,finaid4,finaid5,finaid6,finaid7,finaid8,finaid9,jtpa,rotc,rotc1,rotc2,rotc3,webic,webef,webc,webf,websa,webs,webgr,athaid,athaid1,athaid2,athaid3,athaid4,athaid5,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,ftslt15,facpt,facml,facrl,facmd,pctpost
"418384","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","1","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","1","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418393","1","1","-2","-5","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","1","1","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","-5","1","-5","-5","2","2","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","1","1","-5","-5","-5","1","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","1","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","-1","-1","-1","-1","2","2","2","2","2","2","2","2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2"
"418409","1","-5","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","1","-5","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418418","1","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","1","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418427","1","-5","-2","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","1","1","-5","-5","1","1","1","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","1","1","1","1","-5","1","1","-5","-5","1","-2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418445","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","1","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","-5","1","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","1","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418463","-5","-5","1","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1","5","1","-5","-5","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","1","-2","-2","-2","-5","-5","-5","1","-5","-5","-5","-5","-5","2","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418481","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","6","1","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","1","1","-5","-5","-5","1","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418490","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-1","-1","-1","-2","-2","1","-5","-5","-5","-2","1","5","1","-5","-5","-5","-5","-5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2"
"418506","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","1","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418515","-5","1","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","3","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","3","3","3","3","3","3","3","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418524","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","1","-5","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418533","1","-5","-2","1","1","1","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","1","1","-5","2","1","5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","-5","-5","3","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","4","4","4","4","4","4","4","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418542","1","-5","-2","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","1","1","-5","2","2","5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-5","1","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","1","1","1","1","-5","-5","1","1","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","4","4","4","4","4","4","4","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418551","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","-2","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1","3","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","3","2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418560","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-5","-5","-5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","-5","1","-5","1","-5","-2","-5","1","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","-1","-1","-1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418588","1","-5","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","1","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418603","-5","1","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","6","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","-5","-5","-5","-5","1","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418612","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-2","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","1","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","2","2","2","2","2","2","2","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418630","1","-5","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","-2","-2","-2","1","-2","2","5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","1","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","1","1","-5","-5","-5","-5","-5","3","2","-2","-2","-2","3","3","3","3","5","5","3","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418658","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","1","-5","1","1","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","2","2","2","2","2","2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418700","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1","5","1","-5","-5","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","-2","-2","-2","1","-5","-5","-5","-5","1","1","1","1","-5","1","-5","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-5","1","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2","-5","1","1","-5","1","1","-5","-5","-5","1","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418719","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","1","1","-5","1","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","1","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418728","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1","6","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-5","1","-5","1","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","1","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418737","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-5","1","-5","1","-5","-5","-5","-5","-5","-1","-2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418746","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","1","-5","1","1","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","1","-2","-2","-2","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","1","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418755","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","1","1","-5","1","-5","-5","-5","-5","-5","-1","-2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418764","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1","5","1","-5","-5","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","-2","-2","-2","1","-5","-5","-5","-5","-5","1","1","1","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-5","1","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","3","3","3","3","3","3","3","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418773","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","1","-5","-2","1","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","1","-5","1","1","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","1","1","-5","1","-5","-5","1","-5","-5","1","-2","-2","-2","1","1","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","1","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418782","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","1","-5","-2","1","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","1","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","1","-2","-2","-2","-5","1","-5","1","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"418791","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","-1","-1","-1","-2","-2","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
